Transaction ID,Type,Date,Inscription ID,"BTC Amount (Purchase Price for RECEIVE, Sale Price for SEND)",Fee BTC,Notes
316795e360a8f7e33e0bdcecb83889e5965265de0532bea43c60e2a3209dfa06,SEND,2025-12-09,d734683bd3b5a0f9130cb0728657efd859894ca7dc45714c7118bfb96ef4d583i0,0.01409965,0.00000241,
fea924b0920bede05a694eef6194023dc24406396b2236d89ecbfeb105ebd357,SEND,2025-12-09,897bf16ccf5cd6fff8903fe32c50a1b59ba49d967ca0aa50122696933c499ce4i67,,,
cad6aba6e7d6b811663f40441e49f78aea584bc882f0b7659bbe438ea497bb58,SEND,2025-08-11,941fd32ec45d6990b1efdb59c9a38dd8c75482216c27dd7eaa8c69a708488a72i852,,,
350d23743ead6f0ed895b739a71108fc2ab20d09a42ebaa3cf91052213b72bb9,RECEIVE,2025-01-03,34a2eff48ad53c606ad9a3d5485f96c7aaaa67e2dae618bea60584cddf78aac3i0,,,
ebf5a87ad14cda0ece4d26684e08acb5c3eba0823152745f72f0da1d2f571c2c,RECEIVE,2024-11-21,7ae637cf3c589a18d10722e53a926d03f7521300b7929e4e9dcf05e884a63e9di0,,,
53d097eb364df168e79d8fb48b3e1dd2e24ebd43bb1d724e2f6b0d4ca45d6042,RECEIVE,2024-11-12,9f3c5637f24292937c4e91bcf865a0d92cd4dec93a57531611313b00a79e9895i0,,,
1ebc2e745e5cc29bb6ad484e1d336cdc4d49b6ebd39a8216c6f5e82ae9beffdf,RECEIVE,2024-07-19,d734683bd3b5a0f9130cb0728657efd859894ca7dc45714c7118bfb96ef4d583i0,0.128455,0.00000241,
a1588cf8a1bc3794e13455514a52c7cd1a277292c24321333c851fb5861a0621,SEND,2024-07-18,63dc1d8ac806c27d45a6aa608bd8a73b2a1dd99a5c1f4e32a780795e18231b45i0,,,
c207fc5f3688a3c366b3119d51718eaf4e344529850bbd5276bd961dfb01f52c,SEND,2024-07-18,9918cdf8b02b281d25b0d6bdb809715d7f6d7351223cf51060fd2746c829f5f0i0,,,
7b4840fa0d05d09a3488fdc583409e1014b03b51856c21c84f61892675df1446,RECEIVE,2024-07-17,63dc1d8ac806c27d45a6aa608bd8a73b2a1dd99a5c1f4e32a780795e18231b45i0,,,
7b4840fa0d05d09a3488fdc583409e1014b03b51856c21c84f61892675df1446,RECEIVE,2024-07-17,9918cdf8b02b281d25b0d6bdb809715d7f6d7351223cf51060fd2746c829f5f0i0,,,
34f782dce2869bbf97b359c5e4180e7a3c8c1a9d0c40dd0bd1b17ecba02d5c91,SEND,2024-04-30,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i0,,,
34f782dce2869bbf97b359c5e4180e7a3c8c1a9d0c40dd0bd1b17ecba02d5c91,SEND,2024-04-30,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i1,,,
6b137e008cab2c3c7e3e6b10590f63d9ca48d19406f0859884f8f56ddc200a65,SEND,2024-04-24,b5700030e9be535ad238eee1af88e6ceae9299910d5b8017fe089080ba0a0e4bi0,,,
5df70fd0ef16506034e0d0479851a0eafa710954e7a855d394fdd45ab6b5f2f3,RECEIVE,2024-04-21,b5700030e9be535ad238eee1af88e6ceae9299910d5b8017fe089080ba0a0e4bi0,,,
641746e37c489d833bdcadf1e614382f6d9c707a151a8c233b03badbabd21d3e,RECEIVE,2024-04-20,93d4ec8f4b1ade643efbc0485a770fe36b47d8206d2190ef9e4ace6a8469c4ffi0,,,
ed623abdb0288911322e7eb143b1b341d5ec6a5ed8edbcb166e6fa0f0014af7f,RECEIVE,2024-04-19,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i0,,,
ed623abdb0288911322e7eb143b1b341d5ec6a5ed8edbcb166e6fa0f0014af7f,RECEIVE,2024-04-19,b5012d70218ffa6c3984be247ce92947f7541bbd28a5c77b50bd3c0ac88d0104i1,,,
5eeacf761a88c0ab8776cff05346071e10c974ca31565627cfcedd7f1d795f91,SEND,2024-04-16,3e13d3898c0afa3c5fb58321d8a0b314e6f5919f665f353fa9a0be45d7ee40b0i0,,,
2b125b6b58c7ab1f9264be1043396e36d19614a5008dafbe5c812dd060ef0e91,SEND,2024-04-10,8322821411450950953a840883f76903f24646f570b0842f1e251e7dde9f6891i0,,,
57d8ff2cfdceacddaeea5e760ac5c843efd8de051de976e3e599437329ba5e71,RECEIVE,2024-03-14,941fd32ec45d6990b1efdb59c9a38dd8c75482216c27dd7eaa8c69a708488a72i852,,,
0a2bd03bae5429fa5e9627e0bb26df7e0722b39376dbcf9297f9bf21db4bc09f,RECEIVE,2024-03-12,897bf16ccf5cd6fff8903fe32c50a1b59ba49d967ca0aa50122696933c499ce4i67,,,
